Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Alki/Admiral,2124 California Ave SW,1928,3,No visible retrofit,Residential,11-100,Google Street View
Medium Risk,Alki/Admiral,4029 Beach Dr SW,1928,1,No visible retrofit,Commercial/Residential,1-10,Field Visit
Medium Risk,Alki/Admiral,2306 42nd Ave SW,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys
Medium Risk,Ballard,1100 NW Leary Way,1932,1,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Ballard,1766 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps
Medium Risk,Ballard,1836 NW Market St,1926,1,Substantial Alteration,Commercial,11-100,Field Visit
Medium Risk,Ballard,1903 NW Market St,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit
High Risk,Ballard,2000 NW Market St,1924,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Ballard,2016 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Field Visit
Medium Risk,Ballard,2021 NW 58th St,1900,3,Permitted Retrofit,Residential,11-100,Google Street View
Medium Risk,Ballard,2026 NW Market St,1904,2,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,2032 NW Market St,1928,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,2056 NW Market St,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Ballard,2215 NW Market St,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View
Medium Risk,Ballard,2220 NW Market St,1927,1,No visible retrofit,Commercial,101+,Google Street View
Medium Risk,Ballard,2228 NW Market St,1928,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,2236 NW Market St,1927,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,2244 NW Market St,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Ballard,2301 NW Market St,1928,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,2318 NW Market St,1911,1,No visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,923 NW 54th St,0,1,No visible retrofit,Government,1-10,Permit Drawing Review
Medium Risk,Ballard,4711 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,4722 Ballard Ave NW,1902,2,Visible retrofit,Commercial,11-100,Field Visit
High Risk,Ballard,4743 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit
Medium Risk,Ballard,5000 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5006 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review
Medium Risk,Ballard,5100 Ballard Ave NW,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit
Medium Risk,Ballard,5101 Ballard Ave NW,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View
Medium Risk,Ballard,5109 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5129 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View
Medium Risk,Ballard,5130 Ballard Ave NW,1900,1,Visible retrofit,Commercial,101+,Field Visit
Medium Risk,Ballard,5135 Ballard Ave NW,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit
Medium Risk,Ballard,5140 Ballard Ave NW,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes
Medium Risk,Ballard,5144 Ballard Ave NW,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5200 Ballard Ave NW,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit
Critical Risk,Ballard,5201 Ballard Ave NW,1915,2,No visible retrofit,Schools,101+,Field Visit
Medium Risk,Ballard,5205 Ballard Ave NW,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys
High Risk,Ballard,5215 Ballard Ave NW,1902,2,No visible retrofit,Public Assembly,101+,Field Visit
Medium Risk,Ballard,5218 20th Ave NW,1902,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View
Medium Risk,Ballard,5221 Ballard Ave NW,1902,2,Permitted Retrofit,Commercial,101+,Permit Drawing Review
Medium Risk,Ballard,5227 Leary Ave NW,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit
Medium Risk,Ballard,5229 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit
Medium Risk,Ballard,5232 Ballard Ave NW,1903,3,Permitted Retrofit,Commercial,101+,Permit Drawing Review
Medium Risk,Ballard,5233 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5239 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Ballard,5242 Shilshole Ave NW,1926,1,No visible retrofit,Industrial,11-100,Field Visit
Medium Risk,Ballard,5300 Ballard Ave NW,1902,2,No visible retrofit,Residential,11-100,Field Visit
High Risk,Ballard,5307 Ballard Ave NW,1927,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review
Medium Risk,Ballard,5310 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit
Medium Risk,Ballard,5313 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review
Medium Risk,Ballard,5323 Ballard Ave NW,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys
Medium Risk,Ballard,5333 Ballard Ave NW,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View
Medium Risk,Ballard,5335 Ballard Ave NW,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review
Medium Risk,Ballard,5337 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Ballard,5344 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records
Medium Risk,Ballard,5345 Ballard Ave NW,1901,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5348 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit
Medium Risk,Ballard,5354 Ballard Ave NW,1903,1,Visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5403 Ballard Ave NW,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View
Medium Risk,Ballard,5405 Leary Ave NW,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit
High Risk,Ballard,5414 Ballard Ave NW,1908,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review
Medium Risk,Ballard,5419 Ballard Ave NW,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys
Medium Risk,Ballard,5424 Ballard Ave NW,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Ballard,5425 Ballard Ave NW,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit
Medium Risk,Ballard,5425 Russell Ave NW,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View
Medium Risk,Ballard,5429 Ballard Ave NW,1923,1,No visible retrofit,Commercial,11-100,Field Visit
Medium Risk,Ballard,5443 Ballard Ave NW,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit
Medium Risk,Ballard,5449 Ballard Ave NW,1920,2,Substantial Alteration,Public Assembly,11-100,Field Visit
Medium Risk,Ballard,5463 Leary Ave NW,1950,1,No visible retrofit,Commercial,11-100,Field Visit
Critical Risk,Ballard,5800 15th Ave NW,1922,3,Permitted Retrofit,Schools,101+,Permit Drawing Review
Medium Risk,Ballard,5814 22nd Ave NW,1928,4,No visible retrofit,Residential,11-100,Field Visit
Critical Risk,Beacon Hill,5117 13th Ave S,1919,3,Permitted Retrofit,Schools,101+,Google Street View
Medium Risk,Beacon Hill,5710 Airport Way S,1914,2,No visible retrofit,Commercial,101+,Google Street View
High Risk,Beacon Hill,5840 Airport Way S,1903,4,No visible retrofit,Commercial,11-100,Google Street View
Medium Risk,Beacon Hill,5900 Airport Way S,1901,3,Substantial Alteration,Commercial/Office,11-100,Google Street View
