Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Ending stocks,Amount,PccProc Amount,PccFresh Amount
1970,Vegetables for canning,Pounds,Asparagus,205.052,129.8,3.1,54.9,187.8,8.90834,56.90614978,121.9855102,,0.594900368
1971,Vegetables for canning,Pounds,Asparagus,207.661,134.4,6.6,56.90614978,197.9061498,8.90834,58.37257308,130.6252367,,0.629031145
1972,Vegetables for canning,Pounds,Asparagus,209.896,123.4,12,58.37257308,193.7725731,5.33596,59.8709049,128.5657082,,0.612521002
1973,Vegetables for canning,Pounds,Asparagus,211.909,123.6,15.3,59.8709049,198.7709049,4.54818,57.55462137,136.6681035,,0.644937702
1974,Vegetables for canning,Pounds,Asparagus,213.854,149.4,10.8,57.55462137,217.7546214,4.82307,100.2841987,112.6473526,,0.526748869
1975,Vegetables for canning,Pounds,Asparagus,215.973,86.4,9.8,100.2841987,196.4841987,6.08923,64.27530598,126.1196628,,0.583960323
1976,Vegetables for canning,Pounds,Asparagus,218.035,82.5,7.4,64.27530598,154.175306,3.42839,34.51525181,116.2316642,,0.533087184
1977,Vegetables for canning,Pounds,Asparagus,220.239,96.9,12.9,34.51525181,144.3152518,3.22371,41.68456165,99.40698016,,0.451359569
1978,Vegetables for canning,Pounds,Asparagus,222.585,86.46,7,41.68456165,135.1445616,4.12335,46.63511784,84.3860938,,0.379118511
1979,Vegetables for canning,Pounds,Asparagus,225.055,78.86,6.3,9.9,95.06,5.0203,54.3758963,35.6638037,,0.158467058
1980,Vegetables for canning,Pounds,Asparagus,227.726,69.08,9.8,22.01856,100.89856,5.50708,44.77937864,50.61210136,,0.222249991
1981,Vegetables for canning,Pounds,Asparagus,229.966,69.9,5,44.77937864,119.6793786,6.01094,26.842374,86.82606463,,0.377560442
1982,Vegetables for canning,Pounds,Asparagus,232.188,68.9,5.6,26.842374,101.342374,3.2879,31.91078108,66.14369293,,0.284871281
1983,Vegetables for canning,Pounds,Asparagus,234.307,67.9,3.6,31.91078108,103.4107811,2.873,31.21961554,69.31816554,,0.29584334
1984,Vegetables for canning,Pounds,Asparagus,236.348,66.94,8.029,31.21961554,106.1886155,2.593,28.44035519,75.15526034,,0.317985599
1985,Vegetables for canning,Pounds,Asparagus,238.466,67.66,6.404,28.44035519,102.5043552,1.915,31.35037133,69.23898386,,0.290351597
1986,Vegetables for canning,Pounds,Asparagus,240.651,58.66,6.2,31.35037133,96.21037133,1.708,24.16792,70.33445133,,0.292267438
1987,Vegetables for canning,Pounds,Asparagus,242.804,66.3,7.226,24.16792,97.69392,3.238,30.2991,64.15682,,0.264232962
1988,Vegetables for canning,Pounds,Asparagus,245.021,65.86,6.709,30.2991,102.8681,4.387,17.32118,81.15992,,0.331236588
1989,Vegetables for canning,Pounds,Asparagus,247.342,77.66,4.09215694,17.32118,99.07333694,3.765,20.42458,74.88375694,,0.302753907
1990,Vegetables for canning,Pounds,Asparagus,250.132,76.74,2.35814166,20.42458,99.52272166,4.65227114,20.18262,74.68783052,,0.298593665
1991,Vegetables for canning,Pounds,Asparagus,253.493,70.8,2.16033208,20.18262,93.14295208,3.809389,18.6204,70.71316308,,0.278955092
1992,Vegetables for canning,Pounds,Asparagus,256.894,77.34,1.960052,18.6204,97.920452,3.904,20.34042,73.676032,,0.286795456
