Date              ,Ashokan East Storage,Ashokan East Elevation,Ashokan West Storage,Ashokan West Elevation,Schoharie Storage,Schoharie Elevation,Rondout Storage,Rondout Elevation,Neversink Storage,Neversink Elevation,Pepacton Storage,Pepacton Elevation,Cannonsville Storage,Cannonsville Elevation
1509523200,65.36,577.86,36.34,577.89,12.92,1109.86,47.26,835.85,30.74,1430.03,116.60,1264.45,47.69,1112.87
1509609600,64.95,577.58,36.82,578.59,13.28,1111.05,47.32,835.94,30.68,1429.90,116.87,1264.61,48.20,1113.33
1509696000,64.36,577.31,37.18,579.14,13.56,1111.97,47.22,835.79,30.72,1429.99,117.08,1264.74,48.66,1113.74
1509782400,63.71,576.94,37.49,579.56,13.78,1112.73,47.28,835.88,30.83,1430.22,117.15,1264.78,49.05,1114.09
1509868800,63.15,576.52,37.78,579.92,13.98,1113.39,47.36,836.00,30.94,1430.47,117.11,1264.76,49.35,1114.36
1509955200,62.53,576.14,38.04,580.24,14.19,1114.04,47.46,836.14,31.07,1430.75,117.23,1264.83,49.75,1114.72
1510041600,61.92,575.75,38.28,580.52,14.38,1114.66,47.50,836.21,31.19,1431.01,117.20,1264.81,50.13,1115.06
1510128000,61.32,575.35,38.49,580.78,14.55,1115.20,47.56,836.29,31.26,1431.16,116.96,1264.67,50.44,1115.33
1510214400,60.76,574.96,38.71,581.00,14.71,1115.69,47.46,836.15,31.37,1431.37,116.78,1264.56,50.68,1115.55
1510300800,60.13,574.55,38.85,581.22,14.84,1116.13,47.53,836.25,31.24,1431.10,116.70,1264.51,50.94,1115.76
1510387200,59.54,574.14,39.01,581.38,14.97,1116.52,47.36,835.99,31.32,1431.28,116.52,1264.40,51.19,1115.97
1510473600,59.11,573.72,39.15,581.55,15.09,1116.89,47.17,835.71,31.40,1431.45,116.37,1264.31,51.39,1116.14
1510560000,59.02,573.43,39.30,581.71,15.15,1115.50,47.01,835.48,31.24,1431.12,116.02,1264.10,51.57,1116.30
1510646400,58.86,573.36,39.54,581.88,15.16,1118.92,46.97,835.42,31.30,1431.25,115.79,1263.96,51.47,1116.21
1510732800,58.44,573.25,39.80,582.13,15.14,1118.81,47.04,835.52,31.33,1431.31,115.60,1263.85,51.32,1116.08
1510819200,57.96,572.96,40.08,582.41,15.13,1118.81,47.32,835.93,31.27,1431.20,115.34,1263.69,51.18,1115.96
1510905600,57.47,572.61,40.32,582.70,15.14,1117.07,47.34,835.96,31.35,1431.35,115.24,1263.63,51.05,1115.84
1510992000,57.04,572.29,40.62,582.97,15.14,1117.05,47.45,836.14,31.51,1431.70,115.24,1263.63,50.94,1115.76
1511078400,56.61,572.01,40.96,583.31,15.21,1117.35,47.52,836.24,31.74,1432.20,115.32,1263.68,51.00,1115.81
1511164800,56.08,571.67,41.23,583.64,15.22,1117.23,46.99,835.45,31.88,1432.49,115.60,1263.84,51.32,1116.08
1511251200,55.57,571.33,41.51,583.94,15.23,1117.34,46.94,835.37,32.00,1432.76,115.65,1263.88,51.39,1116.14
1511337600,55.06,570.97,41.78,584.26,15.24,1117.39,46.91,835.33,31.92,1432.58,115.55,1263.82,51.33,1116.09
1511424000,54.54,570.62,42.05,584.55,15.25,1117.41,47.00,835.46,32.00,1432.75,115.55,1263.82,51.27,1116.04
1511510400,54.05,570.25,42.31,584.84,15.22,1117.30,47.07,835.56,32.08,1432.94,115.49,1263.79,51.18,1115.95
1511596800,53.60,569.91,42.60,585.11,15.24,1117.31,47.15,835.66,32.14,1433.07,115.42,1263.75,51.07,1115.87
1511683200,53.08,569.57,42.85,585.39,15.22,1117.30,47.14,835.67,32.19,1433.18,115.34,1263.69,50.99,1115.80
1511769600,53.02,569.18,42.80,585.64,15.25,1117.23,47.01,835.48,32.05,1432.86,115.52,1263.80,51.03,1115.83
1511856000,53.04,569.14,42.73,585.60,15.20,1117.25,46.94,835.37,31.89,1432.51,115.67,1263.88,50.89,1115.71
1511942400,52.92,569.15,42.66,585.53,15.15,1117.05,46.61,834.88,31.66,1432.01,115.85,1264.00,51.05,1115.85
1512028800,52.88,569.07,42.42,585.47,15.13,1117.01,46.64,834.92,31.71,1432.14,115.72,1263.92,50.89,1115.71
1136073600,81.73,587.73,47.53,590.33,17.55,1124.3,47.72,836.54,33.99,1436.89,129.34,1271.97,90.52,1145.93
1136160000,81.71,587.72,47.5,590.3,17.72,1124.8,47.78,836.63,33.89,1436.71,130.21,1272.48,91.69,1146.69
1136246400,81.77,587.75,47.51,590.31,17.85,1125.18,47.89,836.79,33.84,1436.57,131.08,1272.98,92.81,1147.43
1136332800,81.64,587.67,47.36,590.17,17.88,1125.29,47.93,836.85,33.75,1436.34,131.62,1273.29,93.66,1148.01
1136419200,81.58,587.64,47.32,590.13,17.89,1125.29,47.98,836.92,33.63,1436.1,132.28,1273.65,94.5,1148.54
1136505600,81.51,587.59,47.27,590.08,17.84,1125.15,47.99,836.94,33.51,1435.81,132.87,1273.99,95.22,1149.01
1136592000,81.46,587.57,47.2,590.02,17.73,1124.84,47.98,836.93,33.36,1435.5,133.38,1274.27,95.83,1149.41
1136678400,81.42,587.54,47.16,589.98,17.6,1124.45,47.97,836.9,33.22,1435.19,133.83,1274.52,96.41,1149.79
1136764800,81.39,587.53,47.11,589.92,17.47,1124.08,47.94,836.86,33.06,1434.87,134.22,1274.74,96.88,1150.1
1136851200,81.38,587.52,47.08,589.9,17.36,1123.74,47.92,836.83,32.91,1434.55,134.65,1274.98,97.39,1150.41
1136937600,81.43,587.55,47.16,589.97,17.36,1123.75,47.88,836.77,32.76,1434.51,134.93,1275.14,97.73,1150.63
1137024000,81.6,587.65,47.52,590.32,18.17,1126.07,47.84,836.71,33.01,1435.29,136.16,1275.83,98.6,1151.16
1137110400,81.77,587.75,47.59,590.38,18.68,1127.48,47.73,836.55,33.33,1435.87,137.27,1276.45,99.16,1151.51
1137196800,82.16,587.99,48.26,591.03,19.58,1129.97,47.97,836.9,33.63,1437.94,139.78,1277.85,100.39,1152.28
1137283200,82.51,588.19,48.35,591.1,19.74,1130.41,48.2,837.25,35.11,1439.8,142.79,1279.49,101.44,1152.93
1137369600,82.26,588.04,48.13,590.9,19.66,1130.19,48.17,837.2,35.57,1440.34,144.51,1280.42,101.13,1152.74
1137456000,82.14,587.97,47.89,590.67,19.64,1130.14,48.11,837.11,35.67,1440.44,145.26,1280.82,100.64,1152.43
1137542400,83.64,588.87,49.2,591.91,20.32,1131.91,49.47,839.14,35.72,1441.44,147.22,1281.88,102.03,1153.3
1137628800,83.55,588.81,48.57,591.32,19.89,1130.79,50.29,840.36,36.02,1440.82,147.04,1281.78,103.12,1153.97
1137715200,82.71,588.31,48.22,590.98,19.76,1130.47,50.3,840.37,35.79,1440.56,146.24,1281.34,102.21,1153.41
1137801600,82.28,588.05,48.05,590.83,19.71,1130.32,50.24,840.28,35.72,1440.47,145.79,1281.1,101.34,1152.86
1137888000,82.03,587.9,47.96,590.74,19.66,1130.21,50.19,840.2,35.69,1440.43,145.47,1280.93,100.66,1152.45
1137974400,82.05,587.92,47.76,590.54,19.64,1130.16,50.18,840.19,35.69,1440.46,145.33,1280.85,100.2,1152.16
1138060800,81.89,587.82,47.54,590.34,19.62,1130.1,50.14,840.13,35.69,1440.41,145.11,1280.74,99.87,1151.95
1138147200,81.78,587.75,47.5,590.3,19.58,1130,50.05,840,35.64,1440.28,144.83,1280.59,99.59,1151.78
1138233600,81.62,587.66,47.45,590.26,19.53,1129.85,49.8,839.63,35.58,1440.14,144.55,1280.43,99.36,1151.63
1138320000,81.57,587.63,47.44,590.25,19.4,1129.48,49.57,839.28,35.5,1440.02,144.25,1280.27,99.1,1151.48
1138406400,81.52,587.6,47.44,590.25,19.28,1129.16,49.34,838.94,35.47,1440,144.1,1280.19,98.93,1151.37
1138492800,81.55,587.62,47.46,590.27,19.18,1128.89,49.14,838.65,35.47,1440.03,144.04,1280.16,98.84,1151.31
1138579200,81.58,587.64,47.5,590.3,19.15,1128.79,48.99,838.43,35.51,1440.13,144.08,1280.18,98.87,1151.33
1138665600,81.37,587.58,47.06,585.72,19.01,1119.71,48.73,838.24,35.56,1440.08,142.86,1270.58,98.88,1151.49
1138752000,80.16,582.43,46.62,585.02,18.96,1120.17,47.85,831.42,35.59,1428.21,141.8,1269.82,97.66,1142.58
1138838400,81.34,586.98,47.3,589.58,18.98,1126.7,48.39,836.95,35.55,1438.55,143.91,1279.01,99.15,1150.58
1138924800,81.86,587.81,47.75,590.53,18.87,1126.51,48.56,837.79,35.56,1440.43,144.71,1280.52,99.81,1151.91
1139011200,82.08,587.94,47.84,590.62,19.71,1130.34,48.57,837.8,35.73,1440.52,144.97,1280.66,100.16,1152.13
1139097600,82.32,588.08,47.99,590.76,19.78,1130.52,48.66,837.93,35.79,1440.67,145.34,1280.86,100.39,1152.28
1139184000,82.22,588.02,47.86,590.64,19.7,1130.31,48.62,837.87,35.76,1440.52,145.36,1280.87,100.31,1152.23
1139270400,82.03,587.9,47.76,590.55,19.63,1130.11,48.49,837.68,35.69,1440.43,145.27,1280.82,100.1,1152.09
1139356800,81.86,587.81,47.68,590.47,19.61,1130.08,48.33,837.44,35.67,1440.38,145.09,1280.73,99.79,1151.91
1139443200,81.74,587.73,47.6,590.4,19.56,1129.94,48.25,837.32,35.65,1440.12,144.77,1280.55,99.55,1151.75
1139529600,81.64,587.55,47.39,590.04,19.48,1129.72,48.17,837.2,35.44,1440.01,144.49,1280.4,99.35,1151.63
1139616000,81.59,587.64,47.52,590.32,19.28,1129.16,48,836.95,35.52,1440.03,144.31,1280.3,99.14,1151.5
1139702400,81.53,587.61,47.46,590.26,18.91,1128.13,48.02,836.99,35.39,1439.63,144.16,1280.23,98.97,1151.39
1139788800,81.47,587.57,47.38,590.19,18.6,1127.27,47.93,836.84,35.19,1439.47,144,1280.14,98.81,1151.29
1139875200,81.43,587.55,47.34,590.15,18.26,1126.31,47.67,836.46,35.24,1439.56,143.8,1280.03,98.69,1151.22
1139961600,81.44,587.55,47.33,590.14,18.01,1125.61,47.31,835.92,35.25,1439.56,143.63,1279.94,98.59,1151.16
1140048000,81.39,587.52,47.31,590.12,17.74,1124.85,46.92,835.34,35.26,1439.5,143.51,1279.87,98.52,1151.12
1140134400,81.39,587.53,47.23,590.05,17.55,1124.31,46.74,835.07,35.11,1439.09,143.35,1279.79,98.48,1151.09
