building_id,damage_grade
765,2
9470,3
14461,2
9317,2
15941,3
4767,2
5117,2
4081,3
11259,2
5628,3
16051,2
18925,2
409,2
13530,3
10206,3
18347,3
15616,1
473,3
19430,2
8237,2
13064,2
7001,3
337,2
19578,2
8925,3
11868,2
15065,3
9145,3
15691,1
14111,1
895,2
7852,2
13318,3
9244,2
16027,2
463,3
10024,3
11951,2
8038,3
17325,3
8169,2
9240,2
13002,3
6289,2
15155,2
2597,2
7556,3
7224,3
8105,1
6552,3
11558,2
11874,2
3063,2
18692,2
12875,1
7023,2
9094,3
8317,2
1762,3
17719,2
17537,2
4872,2
19238,2
19733,3
13931,2
13749,2
14441,1
18899,1
13663,2
1410,2
9968,3
5710,3
6698,3
5199,2
12905,3
10867,3
9821,2
5776,2
19130,2
13222,2
6442,1
15132,2
11065,3
7445,3
4004,3
3304,2
15544,3
1515,2
5420,2
12675,2
15315,2
3092,3
18057,3
15794,3
17080,2
5526,1
12026,2
8179,3
7000,3
19754,2
17714,2
16930,3
11497,2
9838,3
11685,2
13666,3
6392,3
3668,3
5250,3
17603,3
6592,2
4463,1
11489,3
14815,2
19576,2
19259,2
10494,3
7631,1
3431,3
5751,3
11212,2
11714,2
3740,3
11468,2
3382,2
13067,2
3743,3
2959,2
16168,2
5989,2
17567,2
16513,2
2176,1
10775,1
17780,3
19338,2
13542,3
5485,3
17783,1
18384,2
2046,2
18112,2
8260,3
9182,2
16553,3
13871,2
8311,3
6984,3
7140,1
15636,2
8028,2
8741,2
10267,3
18625,2
14424,3
6328,2
238,2
6936,2
4221,3
6911,2
5477,3
16979,2
7912,3
3523,2
15477,3
10038,2
11699,3
19499,2
14577,3
1329,2
11410,2
18894,2
14473,3
14999,2
19380,3
6876,1
14595,3
13836,3
6323,3
11356,2
5020,2
1448,2
15472,2
4183,1
11733,3
2147,2
7588,2
19574,2
1024,2
11311,3
12475,2
15044,3
10866,3
14138,2
18797,2
16537,3
9711,1
4387,2
17335,2
1194,3
10711,3
10596,2
16166,2
16438,2
15505,1
11166,3
3090,2
12724,3
4609,3
399,3
18139,2
8183,2
19079,2
11826,3
3281,2
12200,2
10706,3
1435,1
9297,2
19609,1
4592,1
14590,2
7332,2
17917,2
10457,1
10183,2
4673,2
15391,2
10474,2
5491,2
7941,1
12145,2
8808,2
18417,3
13669,2
18533,3
676,2
2854,1
2756,2
1493,3
16662,2
16295,2
13788,3
1234,2
9636,1
17492,2
15910,2
19503,3
19390,3
1273,2
2971,2
3643,3
1975,3
2214,2
15455,2
8089,3
11555,1
3762,3
571,3
13610,2
18929,2
11598,1
11691,2
18411,3
17932,3
9707,2
12033,2
11864,2
18188,3
12480,2
19783,2
6464,2
14079,2
6231,1
16234,3
16026,2
19220,3
18529,2
18498,3
3872,2
3469,3
10014,2
10982,1
13000,3
19648,2
8039,2
6419,1
13562,1
14706,2
14584,3
8713,3
15935,3
17334,2
11811,3
15928,3
16115,2
1748,3
10241,2
2185,3
6624,2
13745,3
15482,3
2258,2
15869,2
16074,3
1185,2
5053,1
3924,2
18511,2
7068,2
5332,2
9989,3
8017,2
2505,3
4214,3
19765,3
19512,3
13617,1
6048,2
10833,2
16023,3
1572,2
383,2
19597,2
995,2
3200,2
9693,3
14809,2
2783,2
6051,2
2936,3
206,2
8740,3
11622,3
2642,1
17150,2
4825,2
12964,3
8448,2
9224,3
13673,2
18919,3
6184,2
13679,2
3657,2
3886,3
19537,3
18507,3
3369,2
9060,3
12517,2
17365,2
6255,2
8457,2
9058,2
19229,2
11360,2
19309,2
6704,3
10207,2
4652,3
10999,2
7584,2
12253,2
4512,3
6381,3
3055,3
5955,2
1144,2
19383,2
8886,2
7887,2
5552,3
7957,2
794,3
3470,2
289,2
6099,2
11813,2
2698,3
5663,2
13946,2
17224,3
9619,2
2054,2
4618,1
13984,3
3710,1
366,3
3165,3
17171,3
19471,3
11100,2
17666,2
12619,2
18351,2
5960,3
11979,2
7979,3
10270,2
7599,3
2821,2
2435,2
15762,2
5575,3
15902,2
16258,2
10645,3
16214,1
9229,2
15103,3
17426,2
13866,2
13481,3
9274,3
8335,2
2134,2
13470,2
9087,2
103,3
17889,2
13736,2
7989,1
43,3
6647,3
11920,2
10930,2
16255,3
386,1
17483,3
5652,3
2159,3
13584,2
4940,3
3098,2
19803,2
17190,2
5693,2
9864,3
8635,3
17381,3
18178,3
12121,2
9927,3
7384,2
19357,3
5376,2
5780,2
12351,2
18860,2
19442,2
2040,3
6164,3
12089,3
1668,2
18161,2
10286,2
16294,2
14203,2
4301,2
11452,3
14870,2
13394,2
6344,3
12319,3
443,2
13125,1
8896,3
17104,3
1552,2
14337,1
13241,2
19280,2
13411,2
12048,3
9458,2
10448,2
3788,1
7036,2
6795,2
19668,3
11904,1
16050,3
9812,3
16630,2
3213,3
10937,2
13420,3
2516,3
17173,1
939,1
13763,3
3211,2
5016,1
15729,2
17065,2
16446,2
4083,1
7641,2
9702,3
15977,2
10232,2
15982,2
18490,2
18761,2
14043,2
7857,3
13721,1
250,2
14227,2
2406,2
19093,1
16083,3
458,2
4243,3
432,2
6232,2
14083,3
8804,2
15623,3
18813,3
10566,2
15224,1
16835,3
2215,1
1854,3
686,2
18839,2
8359,2
11481,2
6466,3
18799,3
9249,2
1659,2
12580,3
7643,2
14103,3
11126,2
5207,3
12599,2
11139,2
9514,2
4578,2
9870,3
4138,3
5184,2
1168,3
18432,3
13457,3
12020,3
17579,2
1551,1
16058,2
19865,3
17022,3
4632,3
4972,2
7916,2
1735,2
19360,3
17828,3
6627,2
5858,2
4265,2
1495,3
14232,2
17207,2
3584,3
16506,1
17570,2
5934,2
954,2
1571,3
11321,2
67,3
19421,3
10021,2
7732,2
18771,2
17650,3
3620,2
5969,1
7048,2
558,3
376,2
11278,2
18223,3
15894,3
16019,2
3714,3
12563,2
16025,3
6886,2
11814,2
9885,3
4404,2
10386,2
6447,2
18448,1
16487,1
17680,2
5137,3
18583,3
19159,1
14390,2
19804,2
7900,2
1063,3
6001,3
6582,3
9293,2
6258,2
5305,2
5382,1
13096,3
18165,2
327,1
16626,2
8806,1
11576,1
7318,3
19854,3
7821,2
630,3
9541,2
14944,2
11844,2
19182,1
9856,3
5228,3
2082,2
12293,3
9121,2
7427,3
309,2
7128,3
7527,3
2053,3
3724,2
15626,2
5650,2
14862,3
8859,2
9227,2
3942,3
12114,2
15529,2
16704,2
14489,1
367,3
3707,3
15515,2
13778,2
15010,3
16738,2
13340,1
15416,2
17260,3
19440,2
14000,2
11898,3
34,2
13544,3
11693,2
7082,3
712,3
9308,2
6130,2
8081,1
3479,3
14620,3
6340,2
4411,2
18388,2
11284,1
3583,3
5854,2
12722,2
7571,2
3786,2
5820,2
136,3
5402,3
17431,2
2333,2
15816,2
1532,1
2929,2
7911,3
2489,3
4465,2
19071,3
2494,2
19364,2
12009,2
14371,2
13017,1
526,1
509,2
18099,2
1452,2
15646,2
19293,2
1764,2
2576,2
14201,3
4942,3
16,3
4951,2
16363,3
10173,1
10016,3
16721,2
3324,2
6146,3
10796,3
12125,3
2781,2
1446,3
6965,2
7696,2
6695,2
7242,3
495,2
7277,2
11383,2
11355,2
4388,2
19362,2
10390,2
19001,2
9829,2
12120,2
17478,2
8427,2
16417,2
9298,3
4320,3
1015,2
10834,1
13640,2
1717,2
12450,2
7213,2
13566,2
12712,3
19490,2
10281,3
17765,3
4394,3
12552,3
16652,2
15554,3
12508,1
215,3
9456,2
11880,2
18760,1
6314,3
19956,2
11901,2
4899,2
16134,3
7007,2
11405,3
17969,2
12104,1
17355,2
1162,2
14796,3
8649,3
12565,3
19016,1
7746,3
10256,2
7794,3
9496,3
3770,2
17186,2
18441,3
19868,2
10004,2
7158,2
11955,2
1213,2
11189,2
331,2
5782,2
10137,2
39,2
9153,2
12834,2
15373,3
7176,2
14206,3
19652,2
16365,3
4968,2
7782,3
5188,2
7744,2
1875,1
17710,2
15683,3
6780,2
12357,2
11364,2
19999,2
12592,3
4256,2
18793,2
16102,3
12556,2
12981,3
12921,3
3134,3
960,1
9565,2
9193,2
10606,2
147,2
11624,3
12582,2
17120,2
13809,3
6481,2
19518,2
16837,2
14360,2
259,2
6218,2
10314,1
19665,2
18207,2
16502,2
2376,2
7137,3
9306,2
3658,2
17905,3
12101,2
10931,3
404,2
7087,3
1815,3
2860,3
17546,3
3328,3
8232,2
18937,1
8970,2
6097,2
17293,3
16309,1
11285,3
12995,3
10704,2
18141,2
904,1
15017,1
4704,1
10632,3
3229,2
13122,2
18387,2
16568,2
11312,2
7468,2
18559,2
3107,1
2179,2
9709,3
18049,2
6939,2
18483,2
10409,2
13813,2
11423,3
5996,3
4991,2
8021,3
37,3
11912,3
13028,2
6305,2
10075,2
1904,3
8680,1
3363,2
1767,2
15134,2
14923,3
9106,3
6664,3
11529,3
1542,3
3035,3
1233,3
10101,3
18595,2
1109,2
6834,1
931,3
11775,3
18854,2
12183,2
9508,2
16654,2
1279,3
19823,3
3918,2
19157,3
17440,2
4980,2
13840,3
6557,3
16161,3
86,3
4379,2
1793,3
14641,2
975,2
2705,3
6997,3
16606,3
5830,2
15039,3
14632,2
11414,2
17013,3
16305,2
7038,3
9382,1
513,2
18077,3
19273,3
16990,2
7339,1
19640,3
17923,3
10946,2
1490,3
5468,2
1906,1
17842,2
18967,2
17292,2
17286,2
19073,3
17949,3
6408,1
6427,1
725,2
3463,2
3317,2
17021,3
10127,1
10964,2
7625,3
13518,2
9915,3
14532,3
5515,3
9356,2
10981,1
1065,2
19285,2
17512,2
9988,2
11978,3
16746,3
9130,2
14926,2
12524,2
9412,3
13930,2
17317,2
983,2
16174,3
18906,2
10108,1
10067,3
802,2
11727,2
2192,3
2188,2
6307,3
4160,2
14197,3
6887,2
7351,2
4257,2
17732,2
17469,3
2700,2
19166,2
5070,3
15105,2
3079,2
5656,2
7192,2
2805,3
12890,2
11877,3
4577,3
19808,3
1262,3
1195,2
4515,2
17059,2
9168,2
15899,2
15406,3
3103,3
17837,3
19603,2
11093,3
19470,3
83,3
1917,3
4886,3
4984,3
18180,1
2562,2
1412,2
13670,2
11769,2
17671,3
8700,3
6748,3
1523,1
13837,2
3282,2
10234,2
19502,2
19899,2
5750,3
