Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
Medium Risk,Alki/Admiral,1321 Harbor Ave SW,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.5913996,-122.382779
Medium Risk,Alki/Admiral,2124 California Ave SW,1928,3,No visible retrofit,Residential,11-100,Google Street View,47.5845412,-122.3860609
Medium Risk,Alki/Admiral,4029 Beach Dr SW,1928,1,No visible retrofit,Commercial/Residential,10-Jan,Field Visit,47.5677473,-122.4097795
Medium Risk,Alki/Admiral,2306 42nd Ave SW,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys,47.5826887,-122.3846956
Medium Risk,Ballard,1100 NW Leary Way,1932,1,No visible retrofit,Commercial,11-100,Google Street View,47.6641183,-122.3711104
Medium Risk,Ballard,1766 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,47.6688759,-122.381562
Medium Risk,Ballard,1836 NW Market St,1926,1,Substantial Alteration,Commercial,11-100,Field Visit,47.6688265,-122.3819483
Medium Risk,Ballard,1903 NW Market St,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit,47.6684248,-122.3821811
High Risk,Ballard,2000 NW Market St,1924,2,No visible retrofit,Public Assembly,101+,Field Visit,47.6688775,-122.3961628
Medium Risk,Ballard,2016 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Field Visit,47.6688768,-122.3828693
Medium Risk,Ballard,2021 NW 58th St,1900,3,Permitted Retrofit,Residential,11-100,Google Street View,47.6707349,-122.3828816
Medium Risk,Ballard,2026 NW Market St,1904,2,No visible retrofit,Commercial,101+,Field Visit,47.668937,-122.3834155
Medium Risk,Ballard,2032 NW Market St,1928,1,No visible retrofit,Commercial,101+,Field Visit,47.6689441,-122.3836864
Medium Risk,Ballard,2056 NW Market St,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View,47.6688481,-122.3845315
Medium Risk,Ballard,2215 NW Market St,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View,47.6684992,-122.3855642
Medium Risk,Ballard,2220 NW Market St,1927,1,No visible retrofit,Commercial,101+,Google Street View,47.6690464,-122.3857849
Medium Risk,Ballard,2228 NW Market St,1928,2,No visible retrofit,Commercial,11-100,Field Visit,47.669136,-122.3860586
Medium Risk,Ballard,2236 NW Market St,1927,1,No visible retrofit,Commercial,11-100,Field Visit,47.6689604,-122.3863629
Medium Risk,Ballard,2244 NW Market St,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit,47.6689573,-122.3867569
Medium Risk,Ballard,2301 NW Market St,1928,1,No visible retrofit,Commercial,11-100,Field Visit,47.6685106,-122.3863923
Medium Risk,Ballard,2318 NW Market St,1911,1,No visible retrofit,Commercial,101+,Field Visit,47.668871,-122.38707
Medium Risk,Ballard,923 NW 54th St,0,1,No visible retrofit,Government,10-Jan,Permit Drawing Review,47.6674414,-122.369546
Medium Risk,Ballard,4711 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit,47.6628955,-122.3793985
Medium Risk,Ballard,4722 Ballard Ave NW,1902,2,Visible retrofit,Commercial,11-100,Field Visit,47.6636791,-122.3796694
High Risk,Ballard,4743 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,101+,Field Visit,47.663525,-122.3802179
Medium Risk,Ballard,5000 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6656046,-122.3819239
Medium Risk,Ballard,5006 20th Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Permit Drawing Review,36.778261,-119.4179324
Medium Risk,Ballard,5100 Ballard Ave NW,1905,2,No visible retrofit,Commercial/Residential,101+,Field Visit,47.6646081,-122.3808451
Medium Risk,Ballard,5101 Ballard Ave NW,1905,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,47.6643986,-122.3812286
Medium Risk,Ballard,5109 Ballard Ave NW,1900,2,No visible retrofit,Commercial,11-100,Field Visit,47.66458,-122.3813956
Medium Risk,Ballard,5129 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Residential,11-100,Google Street View,47.6650248,-122.3818879
Medium Risk,Ballard,5130 Ballard Ave NW,1900,1,Visible retrofit,Commercial,101+,Field Visit,47.6653464,-122.3815414
Medium Risk,Ballard,5135 Ballard Ave NW,1900,2,Substantial Alteration,Commercial/Office,11-100,Field Visit,47.6651298,-122.3819287
Medium Risk,Ballard,5140 Ballard Ave NW,1902,2,Visible retrofit,Public Assembly,11-100,Google Street View-Rosettes,47.6655294,-122.3817871
Medium Risk,Ballard,5144 Ballard Ave NW,1911,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6655423,-122.3818782
Medium Risk,Ballard,5200 Ballard Ave NW,1900,2,Visible retrofit,Public Assembly,11-100,Field Visit,47.6658493,-122.3823074
Critical Risk,Ballard,5201 Ballard Ave NW,1915,2,No visible retrofit,Schools,101+,Field Visit,47.6654765,-122.3824261
Medium Risk,Ballard,5205 Ballard Ave NW,1915,1,Visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.6655613,-122.382497
High Risk,Ballard,5215 Ballard Ave NW,1902,2,No visible retrofit,Public Assembly,101+,Field Visit,47.6656581,-122.3828509
Medium Risk,Ballard,5218 20th Ave NW,1902,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View,47.6673549,-122.3819447
Medium Risk,Ballard,5221 Ballard Ave NW,1902,2,Permitted Retrofit,Commercial,101+,Permit Drawing Review,47.6658434,-122.3828935
Medium Risk,Ballard,5227 Leary Ave NW,1911,5,No visible retrofit,Other Mixed Uses,11-100,Field Visit,47.6661239,-122.3818015
Medium Risk,Ballard,5229 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,47.6660071,-122.3831147
Medium Risk,Ballard,5232 Ballard Ave NW,1903,3,Permitted Retrofit,Commercial,101+,Permit Drawing Review,47.6662941,-122.3827455
Medium Risk,Ballard,5233 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Field Visit,47.6661619,-122.3832086
Medium Risk,Ballard,5239 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6662152,-122.3833114
Medium Risk,Ballard,5242 Shilshole Ave NW,1926,1,No visible retrofit,Industrial,11-100,Field Visit,47.6657096,-122.3833175
Medium Risk,Ballard,5300 Ballard Ave NW,1902,2,No visible retrofit,Residential,11-100,Field Visit,47.666621,-122.3830345
High Risk,Ballard,5307 Ballard Ave NW,1927,1,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,47.666437,-122.383666
Medium Risk,Ballard,5310 Ballard Ave NW,1900,2,Substantial Alteration,Public Assembly,11-100,Field Visit,47.666788,-122.383345
Medium Risk,Ballard,5313 Ballard Ave NW,1900,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,47.6665588,-122.3837548
Medium Risk,Ballard,5323 Ballard Ave NW,1901,3,Substantial Alteration,Commercial/Office,101+,Photos from Previous Surveys,47.666799,-122.3840315
Medium Risk,Ballard,5333 Ballard Ave NW,1904,1,Permitted Retrofit,Commercial,11-100,Google Street View,47.667062,-122.384261
Medium Risk,Ballard,5335 Ballard Ave NW,1909,2,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,47.6671502,-122.3842501
Medium Risk,Ballard,5337 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.667123,-122.3843669
Medium Risk,Ballard,5344 Ballard Ave NW,1900,1,No visible retrofit,Commercial,11-100,White Card Permit Records,47.6675828,-122.3841061
Medium Risk,Ballard,5345 Ballard Ave NW,1901,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.6673462,-122.3844833
Medium Risk,Ballard,5348 Ballard Ave NW,1900,2,No visible retrofit,Commercial/Office,101+,Field Visit,47.667702,-122.3842786
Medium Risk,Ballard,5354 Ballard Ave NW,1903,1,Visible retrofit,Commercial,11-100,Field Visit,47.6677565,-122.3844389
Medium Risk,Ballard,5403 Ballard Ave NW,1901,2,Permitted Retrofit,Commercial/Residential,101+,Google Street View,47.6676801,-122.3850732
Medium Risk,Ballard,5405 Leary Ave NW,1904,2,Substantial Alteration,Commercial/Office,101+,Field Visit,47.666872,-122.3828299
High Risk,Ballard,5414 Ballard Ave NW,1908,2,No visible retrofit,Public Assembly,101+,Permit Drawing Review,47.6679682,-122.3852745
Medium Risk,Ballard,5419 Ballard Ave NW,1913,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.667849,-122.385562
Medium Risk,Ballard,5424 Ballard Ave NW,1906,2,No visible retrofit,Commercial/Office,101+,Google Street View,47.6683962,-122.3855011
Medium Risk,Ballard,5425 Ballard Ave NW,1926,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,47.667974,-122.3856053
Medium Risk,Ballard,5425 Russell Ave NW,1910,3,Visible retrofit,Commercial/Office,101+,Google Street View,47.6683759,-122.3830343
Medium Risk,Ballard,5429 Ballard Ave NW,1923,1,No visible retrofit,Commercial,11-100,Field Visit,47.6679765,-122.3858409
Medium Risk,Ballard,5443 Ballard Ave NW,1906,2,Visible retrofit,Other Mixed Uses,11-100,Field Visit,47.668317,-122.3862375
