,index,Unnamed: 0,Preliminary Risk Category,Neighborhood,Address,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,lattitude,longitude
0,0,0,Medium Risk,Alki/Admiral,1321 Harbor Ave SW,1915,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,47.5913996,-122.382779
1,1,1,Medium Risk,Alki/Admiral,2124 California Ave SW,1928,3,No visible retrofit,Residential,11-100,Google Street View,47.584541200000004,-122.38606090000002
2,2,2,Medium Risk,Alki/Admiral,4029 Beach Dr SW,1928,1,No visible retrofit,Commercial/Residential,10-Jan,Field Visit,47.5677473,-122.4097795
3,3,3,Medium Risk,Alki/Admiral,2306 42nd Ave SW,1909,2,Visible retrofit,Government,11-100,Photos (Rosettes) from Previous Surveys,47.582688700000006,-122.3846956
4,4,4,Medium Risk,Ballard,1100 NW Leary Way,1932,1,No visible retrofit,Commercial,11-100,Google Street View,47.6641183,-122.3711104
5,5,5,Medium Risk,Ballard,1766 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,47.668875899999996,-122.38156200000002
6,6,6,Medium Risk,Ballard,1836 NW Market St,1926,1,Substantial Alteration,Commercial,11-100,Field Visit,47.6688265,-122.3819483
7,7,7,Medium Risk,Ballard,1903 NW Market St,1909,3,No visible retrofit,Commercial/Residential,101+,Field Visit,47.6684248,-122.3821811
8,8,8,High Risk,Ballard,2000 NW Market St,1924,2,No visible retrofit,Public Assembly,101+,Field Visit,47.6688775,-122.3961628
9,9,9,Medium Risk,Ballard,2016 NW Market St,1906,2,No visible retrofit,Commercial/Office,11-100,Field Visit,47.6688768,-122.3828693
10,10,10,Medium Risk,Ballard,2021 NW 58th St,1900,3,Permitted Retrofit,Residential,11-100,Google Street View,47.6707349,-122.38288159999999
11,11,11,Medium Risk,Ballard,2026 NW Market St,1904,2,No visible retrofit,Commercial,101+,Field Visit,47.668937,-122.3834155
12,12,12,Medium Risk,Ballard,2032 NW Market St,1928,1,No visible retrofit,Commercial,101+,Field Visit,47.6689441,-122.3836864
13,13,13,Medium Risk,Ballard,2056 NW Market St,1925,3,No visible retrofit,Commercial/Residential,101+,Google Street View,47.668848100000005,-122.3845315
14,14,14,Medium Risk,Ballard,2215 NW Market St,1903,2,No visible retrofit,Commercial/Office,11-100,Google Street View,47.6684992,-122.3855642
15,15,15,Medium Risk,Ballard,2220 NW Market St,1927,1,No visible retrofit,Commercial,101+,Google Street View,47.6690464,-122.38578490000002
16,16,16,Medium Risk,Ballard,2228 NW Market St,1928,2,No visible retrofit,Commercial,11-100,Field Visit,47.669136,-122.38605859999998
17,17,17,Medium Risk,Ballard,2236 NW Market St,1927,1,No visible retrofit,Commercial,11-100,Field Visit,47.668960399999996,-122.3863629
18,18,18,Medium Risk,Ballard,2244 NW Market St,1913,2,No visible retrofit,Commercial/Office,101+,Field Visit,47.668957299999995,-122.38675690000001
19,19,19,Medium Risk,Ballard,2301 NW Market St,1928,1,No visible retrofit,Commercial,11-100,Field Visit,47.668510600000005,-122.3863923
